# Táblázat
"Forrás","Magyarország, DKT-Gemius (15+ belföldi közönség), 2020-05-01 - 2020-05-31"
"Riport","Domain-ek"
"Létrehozva","2021-07-25,15:12:23,CET"
"Periódus","2020-05-01 - 2020-05-31"
"Lokációk","Belföld"
"Platform","Teljes"
"Mutató","Real users"
"Node","Real users","Elérés - Internet","Oldalletöltések","Látogatások","Idő [s] (másodpercek)"
"Internet","6410863","0.9952","8288830839","1881032193","876508769665"
"Internet | index.hu","3776167","0.5862","230155062","69266864","27042689290"
"Internet | 24.hu","3731263","0.5792","63266679","34716171","6366365269"
"Internet | blog.hu","3576695","0.5552","25099451","13615614","3035957533"
"Internet | origo.hu","3481726","0.5405","112553727","35116475","9428857057"
"Internet | femina.hu","3396133","0.5272","57017397","21069189","2411496222"
"Internet | nlc.hu","3090504","0.4797","38578914","23953187","3145094958"
"Internet | hvg.hu","2909180","0.4516","44240686","21992917","4318931978"
"Internet | jofogas.hu","2791248","0.4333","152069416","20118623","7827690799"
"Internet | blikk.hu","2777646","0.4312","63276152","29574696","4338079206"
"Internet | nosalty.hu","2718616","0.422","36732725","14202141","3342561528"
"Internet | portfolio.hu","2716527","0.4217","50700520","22149418","4938934385"
"Internet | mindmegette.hu","2502719","0.3885","20395107","10457995","2229593601"
"Internet | hazipatika.com","2370080","0.3679","14591505","8309621","1046905471"
"Internet | 444.hu","2261780","0.3511","33351156","17993684","4053362190"
"Internet | ripost.hu","2223184","0.3451","18706128","11554113","1284399093"
"Internet | borsonline.hu","2127145","0.3302","17636404","10830546","1451216969"
"Internet | life.hu","2082622","0.3233","26920880","11379808","1377362934"
"Internet | hasznaltauto.hu","2072644","0.3217","159371349","15580538","7050784365"
"Internet | szeretlekmagyarorszag.hu","2066288","0.3207","17926821","8156484","975175107"
"Internet | videa.hu","2043322","0.3172","38643845","18469299","37703219448"
"Internet | idokep.hu","2002464","0.3108","68289761","27669232","5403260135"
"Internet | napi.hu","1914790","0.2972","19347461","11892112","1488502593"
"Internet | cafeblog.hu","1897190","0.2945","6567453","4409876","604233364"
"Internet | webbeteg.hu","1813133","0.2815","6802679","4567343","709228961"
"Internet | startlap.hu","1707436","0.265","53188865","30586025","10129951181"
"Internet | port.hu","1694921","0.2631","38939684","6917716","2082905444"
"Internet | vezess.hu","1573005","0.2442","11020293","7667973","1045388535"
"Internet | cosmopolitan.hu","1538337","0.2388","8422932","6212453","618188079"
"Internet | vatera.hu","1435582","0.2228","29695265","4464237","1524398433"
"Internet | atv.hu","1362928","0.2116","12198372","7357381","1501891703"
"Internet | infostart.hu","1341803","0.2083","6927526","4058915","544648207"
"Internet | promotions.hu","1333999","0.2071","7541914","4009026","490968807"
"Internet | nepszava.hu","1314620","0.2041","13421207","3628130","737714448"
"Internet | divany.hu","1314455","0.204","8789834","4276840","844103458"
"Internet | penzcentrum.hu","1313830","0.2039","5625799","4338518","508100662"
"Internet | totalcar.hu","1297542","0.2014","19873323","7152980","1978339787"
"Internet | femcafe.hu","1225249","0.1902","13682899","3681933","364329087"
"Internet | joy.hu","1222786","0.1898","18944532","4258110","486572609"
"Internet | wmn.hu","1211748","0.1881","4453712","3095764","876032968"
"Internet | harmonikum.co","1164420","0.1808","5915568","4280876","711768864"
"Internet | freemail.hu","1129369","0.1753","197385806","25323246","7680745265"
"Internet | receptneked.hu","1084570","0.1684","5417625","3267837","473693401"
"Internet | napjainkportal.hu","1070652","0.1662","5448585","3727470","728171752"
"Internet | indavideo.hu","1054656","0.1637","30892928","8474133","13885036791"
"Internet | glamour.hu","1035740","0.1608","3522635","2584259","296559209"
"Internet | egeszsegkalauz.hu","1023982","0.159","2734227","1979431","196888180"
"Internet | mfor.hu","997884","0.1549","2797796","2171511","260428178"
"Internet | 168ora.hu","985412","0.153","4312825","2843635","338535004"
"Internet | tv2.hu","960718","0.1491","15554653","6549846","4143663426"
"Internet | alon.hu","956474","0.1485","6756246","2969928","276922691"
"Internet | nemzetisport.hu","955096","0.1483","28695565","11226243","2508234681"
"Internet | mafab.hu","945355","0.1467","6471017","2048301","427437801"
"Internet | rtl.hu","934419","0.145","3064959","1747540","312949733"
"Internet | velvet.hu","916705","0.1423","16101312","4108977","638615395"
"Internet | koponyeg.hu","911007","0.1414","7922137","5045537","706559900"
