# Táblázat
"Forrás","Magyarország, DKT-Gemius (15+ belföldi közönség), 2020-06-01 - 2020-06-30"
"Riport","Domain-ek"
"Létrehozva","2021-07-25,15:12:30,CET"
"Periódus","2020-06-01 - 2020-06-30"
"Lokációk","Belföld"
"Platform","Teljes"
"Mutató","Real users"
"Node","Real users","Elérés - Internet","Oldalletöltések","Látogatások","Idő [s] (másodpercek)"
"Internet","6401969","0.9938","7133645948","1687654294","736750601380"
"Internet | 24.hu","3784896","0.5875","59314102","33284820","5442573595"
"Internet | index.hu","3686062","0.5722","204790341","60235963","22929129214"
"Internet | femina.hu","3476356","0.5396","58293589","22915392","2545329101"
"Internet | origo.hu","3452254","0.5359","100226559","32245167","8418635394"
"Internet | blog.hu","3342029","0.5188","21430244","11351718","2500796259"
"Internet | hvg.hu","3043030","0.4724","40282697","20589381","4027783147"
"Internet | nlc.hu","3014415","0.4679","36712779","22522505","3013482887"
"Internet | blikk.hu","2870509","0.4456","60788971","28303572","3943177263"
"Internet | jofogas.hu","2544089","0.3949","129244382","17454851","6721728682"
"Internet | nosalty.hu","2505843","0.389","28128817","11238550","2445404477"
"Internet | ripost.hu","2497745","0.3877","22457633","13833940","1577624128"
"Internet | portfolio.hu","2409733","0.3741","37305565","16036355","3587147925"
"Internet | hazipatika.com","2390946","0.3711","14014813","8003884","996904817"
"Internet | idokep.hu","2381760","0.3697","99097831","36971299","7544760845"
"Internet | borsonline.hu","2260015","0.3508","19186603","11874687","1556442763"
"Internet | mindmegette.hu","2235114","0.347","14837377","7881682","1602238826"
"Internet | life.hu","2227418","0.3458","28453579","12196674","1383617275"
"Internet | hasznaltauto.hu","2092778","0.3249","153350895","15406802","6903134824"
"Internet | 444.hu","1922509","0.2984","26224206","14145759","3285918512"
"Internet | videa.hu","1847856","0.2868","33291219","13376750","24684781213"
"Internet | webbeteg.hu","1826025","0.2835","6671900","4482851","710549483"
"Internet | napi.hu","1750598","0.2717","17240469","10514211","1299576032"
"Internet | cosmopolitan.hu","1693157","0.2628","8848550","6493207","617772179"
"Internet | startlap.hu","1680473","0.2609","49805118","26840978","9187060380"
"Internet | szeretlekmagyarorszag.hu","1670962","0.2594","15788392","6522797","796812834"
"Internet | divany.hu","1648513","0.2559","9615657","4938345","971924084"
"Internet | vezess.hu","1599010","0.2482","10081300","7147996","1048691040"
"Internet | infostart.hu","1459009","0.2265","6962954","4264916","498852053"
"Internet | nemzetisport.hu","1412553","0.2193","42093011","15265041","3458838627"
"Internet | port.hu","1411273","0.2191","31235552","5600877","1662959215"
"Internet | cafeblog.hu","1410442","0.2189","4897138","3233512","378831518"
"Internet | totalcar.hu","1376066","0.2136","19340165","7157835","1943334725"
"Internet | vatera.hu","1278233","0.1984","26599164","3780233","1337771344"
"Internet | joy.hu","1249515","0.194","17266880","4032305","439408205"
"Internet | atv.hu","1244570","0.1932","10611040","6380771","1238009504"
"Internet | promotions.hu","1241315","0.1927","6990026","4081055","487499701"
"Internet | glamour.hu","1229882","0.1909","3978814","2804320","318171243"
"Internet | penzcentrum.hu","1199692","0.1862","4429784","3326821","385301753"
"Internet | femcafe.hu","1170259","0.1817","13574326","3649251","335842106"
"Internet | egeszsegkalauz.hu","1088491","0.169","2995698","2078998","214213494"
"Internet | indavideo.hu","1042188","0.1618","28864532","7628522","12853283888"
"Internet | freemail.hu","1025636","0.1592","167151300","21184317","5650137529"
"Internet | tenyek.hu","1021269","0.1585","2730925","1952604","312197097"
"Internet | napjainkportal.hu","1018160","0.158","5050450","3329111","668514642"
"Internet | wmn.hu","1004192","0.1559","3496377","2403629","652969076"
"Internet | alon.hu","993868","0.1543","7093896","3250440","297189635"
"Internet | harmonikum.co","980298","0.1522","4122820","2991046","517512951"
"Internet | menetrendek.hu","957543","0.1486","7418087","5341454","777241035"
"Internet | noizz.hu","942352","0.1463","2593490","1934669","219179619"
"Internet | rtl.hu","934401","0.145","3088042","1805813","349264879"
"Internet | tv2.hu","934250","0.145","7017881","3608869","2199543472"
"Internet | profession.hu","933728","0.1449","21441564","3802910","1217799875"
"Internet | receptneked.hu","921138","0.143","4204906","2584572","349951239"
"Internet | hirvilag.hu","912643","0.1417","3407028","2193347","125533494"
"Internet | koponyeg.hu","909940","0.1412","9178015","5651331","789042705"
"Internet | 168ora.hu","899523","0.1396","3531710","2374712","287161363"
"Internet | indirekt.hu","886328","0.1376","4192283","2809045","245203078"
"Internet | nepszava.hu","886171","0.1376","9894001","2484110","535699132"
"Internet | mafab.hu","842707","0.1308","4948733","1617041","320109468"
"Internet | 5percblog.hu","824662","0.128","2189401","1899820","318601636"
"Internet | bien.hu","809172","0.1256","8330615","2777998","334580269"
"Internet | velvet.hu","807439","0.1253","13691620","3584410","556155318"
"Internet | player.hu","794697","0.1234","3548851","2179395","282505006"
"Internet | privatbankar.hu","791105","0.1228","2515968","2033994","250390777"
"Internet | magyarnemzet.hu","780529","0.1212","5444317","2361729","758968169"
"Internet | topszotar.hu","751087","0.1166","4060577","1789655","260007459"
"Internet | alapjarat.hu","748527","0.1162","1662936","1441836","249823274"
"Internet | reblog.hu","736305","0.1143","2734973","1934886","443701751"
"Internet | mfor.hu","703089","0.1091","1783705","1387373","173779238"
"Internet | retikul.hu","698901","0.1085","3814469","1293402","-"
"Internet | szon.hu","695222","0.1079","3724550","2042433","264220585"
"Internet | forbes.hu","685738","0.1064","3415797","1264578","5703210"
"Internet | hellovidek.hu","667720","0.1036","1872036","1429330","181186258"
"Internet | streetkitchen.hu","658698","0.1022","5122592","1810507","474692325"
"Internet | hirado.hu","649373","0.1008","2090898","1426797","198569009"
"Internet | ign.hu","635871","0.0987","3916894","2619567","398645670"
"Internet | ittlakunk.hu","632368","0.0982","2024454","1451550","149779139"
"Internet | agroinform.hu","621073","0.0964","8657476","2206773","584215484"
"Internet | marieclaire.hu","619736","0.0962","1339330","1053666","123426265"
"Internet | csaladinet.hu","612244","0.095","1523901","1254416","214477450"
"Internet | sobors.hu","610931","0.0948","2208290","1261384","174874850"
"Internet | babaszoba.hu","604643","0.0939","3117710","1954186","273387424"
"Internet | ceginformacio.hu","591945","0.0919","1853554","1216111","290767507"
"Internet | wellandfit.hu","580846","0.0902","1553043","1175998","107076508"
"Internet | media1.hu","580436","0.0901","1021936","790245","82253415"
"Internet | propeller.hu","575573","0.0893","2852998","1705372","201402019"
"Internet | eduline.hu","567902","0.0882","2833808","1540232","175040252"
"Internet | hirstart.hu","564767","0.0877","9946358","4449255","921433113"
"Internet | hirklikk.hu","541673","0.0841","2384295","1636463","288700838"
"Internet | hrportal.hu","524572","0.0814","1737303","849827","196389368"
"Internet | blogstar.hu","520762","0.0808","1763695","1149462","165358208"
"Internet | autonavigator.hu","520142","0.0807","1984814","1176285","208548720"
"Internet | evamagazin.hu","514886","0.0799","3546692","818476","150522503"
"Internet | met.hu","511746","0.0794","14450817","5402369","1133767730"
"Internet | m4sport.hu","509745","0.0791","2195887","1572678","465680874"
"Internet | startapro.hu","509340","0.0791","9322078","1026288","219388502"
"Internet | welovebudapest.com","492045","0.0764","969265","830705","115360178"
"Internet | travelo.hu","491533","0.0763","1627143","808883","110601134"
"Internet | ingatlanbazar.hu","490059","0.0761","8371091","1268561","209870581"
"Internet | likebalaton.hu","478835","0.0743","867662","656890","103235807"
"Internet | g7.hu","476460","0.074","1389027","1057085","203924959"
"Internet | magyarnarancs.hu","476012","0.0739","1589174","1001520","154452730"
"Internet | sonline.hu","471930","0.0733","1301139","895479","116806210"
"Internet | qubit.hu","467432","0.0726","1138083","886988","216696271"
"Internet | mandiner.hu","462598","0.0718","4571642","1616225","619159329"
"Internet | pcforum.hu","461654","0.0717","961929","702991","85060423"
"Internet | pestisracok.hu","461282","0.0716","4858753","2290005","836096709"
"Internet | twice.hu","459435","0.0713","1184495","929586","106633861"
"Internet | bookline.hu","443995","0.0689","5085945","940441","248978140"
"Internet | kisalfold.hu","443235","0.0688","4569355","2088642","300821478"
"Internet | programturizmus.hu","440176","0.0683","1215901","589533","72487818"
"Internet | ingatlantajolo.hu","438071","0.068","3982999","1022682","195123930"
"Internet | agrarszektor.hu","437333","0.0679","1148798","782426","101530616"
"Internet | hobbikert.hu","430385","0.0668","1420950","1055076","174800229"
"Internet | 888.hu","430379","0.0668","4164787","1916836","378302973"
"Internet | nyugat.hu","428291","0.0665","3868680","1900575","296669620"
"Internet | profitline.hu","425951","0.0661","1303159","695881","75840483"
"Internet | liner.hu","425424","0.066","1282691","991858","92984522"
"Internet | starity.hu","424207","0.0658","1890669","836373","89322885"
"Internet | eoldal.hu","407277","0.0632","1228703","612927","106051640"
"Internet | boon.hu","406827","0.0632","2648503","1275710","191723993"
"Internet | instyle.hu","401430","0.0623","4485721","836294","76897164"
"Internet | delmagyar.hu","400437","0.0622","2611256","1279362","188867721"
"Internet | kremmania.hu","398970","0.0619","5650928","1229246","228435858"
