# Táblázat
"Forrás","Magyarország, DKT-Gemius (15+ belföldi közönség), 2018-04-01 - 2018-04-30"
"Riport","Domain-ek"
"Létrehozva","2021-07-25,15:01:33,CET"
"Periódus","2018-04-01 - 2018-04-30"
"Lokációk","Belföld"
"Platform","Teljes"
"Mutató","Real users"
"Node","Real users","Elérés - Internet","Oldalletöltések","Látogatások","Idő [s] (másodpercek)"
"Internet","5965113","0.996","7512845996","1380325775","773636788063"
"Internet | blog.hu","3329980","0.556","35335952","16148651","4557562097"
"Internet | 24.hu","2855607","0.4768","62892480","29024077","6185293896"
"Internet | index.hu","2853209","0.4764","201705059","54074020","21677005446"
"Internet | origo.hu","2736840","0.457","116949997","33203188","9318905574"
"Internet | jofogas.hu","2489033","0.4156","149426308","19015702","9331917462"
"Internet | nlcafe.hu","2484110","0.4148","38299612","18882257","2838730282"
"Internet | blikk.hu","2422834","0.4046","69726894","24542625","4271091834"
"Internet | arukereso.hu","2395584","0.4","33272869","8708672","1836446260"
"Internet | hvg.hu","2240755","0.3742","43694219","19366894","4171705393"
"Internet | femina.hu","2201381","0.3676","43153194","12575015","1508137312"
"Internet | hazipatika.com","1820075","0.3039","11128555","6594574","1131642341"
"Internet | 444.hu","1741877","0.2909","38551769","17571681","5055170068"
"Internet | nosalty.hu","1722830","0.2877","19890398","7337037","1876484700"
"Internet | idokep.hu","1666092","0.2782","42797449","18093377","3960399520"
"Internet | hasznaltauto.hu","1654837","0.2763","168837838","12702386","6903070236"
"Internet | napi.hu","1491678","0.2491","14173420","8047802","961705462"
"Internet | vatera.hu","1471430","0.2457","36618168","5049208","1898263048"
"Internet | startlap.hu","1464855","0.2446","54053467","31659933","10753046086"
"Internet | life.hu","1435948","0.2398","22039258","9707450","1236756349"
"Internet | webbeteg.hu","1425717","0.2381","5493153","3549620","594295831"
"Internet | mindmegette.hu","1375573","0.2297","8775537","4247354","1116107788"
"Internet | port.hu","1345318","0.2246","27960622","5656010","1679225507"
"Internet | cafeblog.hu","1342041","0.2241","7952037","4927388","779049078"
"Internet | videa.hu","1295987","0.2164","20549648","7260012","14116581846"
"Internet | indavideo.hu","1290270","0.2154","33340120","8636602","12137306434"
"Internet | ripost.hu","1257068","0.2099","14761637","7377211","821275681"
"Internet | szeretlekmagyarorszag.hu","1171969","0.1957","26252075","8103865","965504427"
"Internet | freemail.hu","1156246","0.1931","177225074","22809788","6105718732"
"Internet | portfolio.hu","1136538","0.1898","16313045","6341304","1840590969"
"Internet | menetrendek.hu","1108314","0.1851","6677950","5104887","923252835"
"Internet | zoom.hu","1068642","0.1784","4443131","3462433","443780096"
"Internet | mindenegyben.com","1024701","0.1711","7561432","5391436","603253305"
"Internet | argep.hu","1015061","0.1695","4318094","2016756","287370842"
"Internet | bien.hu","992964","0.1658","6629026","3168093","337620249"
"Internet | vezess.hu","958002","0.16","7341737","4261438","640629811"
"Internet | atv.hu","949296","0.1585","9996366","5905687","1342696186"
"Internet | noizz.hu","946010","0.158","3663796","2764119","340148173"
"Internet | velvet.hu","931021","0.1555","17332447","4461749","632767255"
"Internet | borsonline.hu","927070","0.1548","10636025","4454682","826140518"
"Internet | mno.hu","926322","0.1547","4518914","2581909","487180513"
"Internet | penzcentrum.hu","908035","0.1516","4196334","3240345","390333389"
"Internet | profession.hu","880218","0.147","16799407","3162686","957649913"
"Internet | femcafe.hu","878328","0.1467","10145603","3115399","257173116"
"Internet | koponyeg.hu","814314","0.136","9500977","6432082","886060551"
"Internet | totalcar.hu","805457","0.1345","16414364","4357722","1314239148"
"Internet | nemzetisport.hu","800035","0.1336","40672816","13074227","3142537296"
"Internet | twn.hu","780419","0.1303","14939948","4992634","471810137"
"Internet | hirtv.hu","762586","0.1273","4007780","2398925","785693696"
"Internet | receptneked.hu","755808","0.1262","4203333","2279787","408425915"
"Internet | tudasfaja.com","733998","0.1226","4882246","3526596","357746423"
"Internet | player.hu","725685","0.1212","3648750","2418945","304629147"
"Internet | divany.hu","724328","0.1209","5866693","2745225","500078427"
"Internet | glamour.hu","724326","0.1209","4420726","2098525","245026512"
"Internet | programturizmus.hu","719638","0.1202","2320431","1100090","157970492"
"Internet | hirado.hu","692937","0.1157","2998245","2046879","280371047"
"Internet | rtl.hu","692806","0.1157","3179012","1527995","567485938"
"Internet | reblog.hu","689439","0.1151","3021027","1882504","386181444"
"Internet | egeszsegkalauz.hu","640209","0.1069","1691309","1262041","192710012"
"Internet | 168ora.hu","633207","0.1057","2792831","1970101","305444646"
"Internet | topszotar.hu","629828","0.1052","3590723","1357110","224483698"
"Internet | ittlakunk.hu","618275","0.1032","1870692","1188242","128503322"
"Internet | joy.hu","596636","0.0996","7462445","2185573","220384505"
"Internet | hirstart.hu","592687","0.099","12664966","5760184","1021837925"
"Internet | mediaklikk.hu","583549","0.0974","5118836","2255286","3669052116"
