# Táblázat
"Forrás","Magyarország, DKT-Gemius (15+ belföldi közönség), 2018-06-01 - 2018-06-30"
"Riport","Domain-ek"
"Létrehozva","2021-07-25,15:01:59,CET"
"Periódus","2018-06-01 - 2018-06-30"
"Lokációk","Belföld"
"Platform","Teljes"
"Mutató","Real users"
"Node","Real users","Elérés - Internet","Oldalletöltések","Látogatások","Idő [s] (másodpercek)"
"Internet","6006107","0.9932","7308925010","1420115758","766362555194"
"Internet | blog.hu","3306563","0.5468","33809097","15192239","4113687498"
"Internet | origo.hu","2784765","0.4605","131697753","31530417","8894929676"
"Internet | 24.hu","2558401","0.4231","53456081","25064669","4595333224"
"Internet | jofogas.hu","2496292","0.4128","145600924","18632647","9029144992"
"Internet | index.hu","2457327","0.4064","162279687","43041652","17963557095"
"Internet | nlcafe.hu","2453862","0.4058","39093349","19417126","2952444200"
"Internet | arukereso.hu","2432459","0.4023","34420509","8951390","1847253159"
"Internet | blikk.hu","2207520","0.3651","64614010","21833215","3996740702"
"Internet | femina.hu","2169264","0.3587","41289101","11844467","1380360685"
"Internet | idokep.hu","2075754","0.3433","82501091","29158487","6765331684"
"Internet | hvg.hu","1977415","0.327","31697558","14546430","2891570758"
"Internet | hazipatika.com","1807524","0.2989","10819539","6426605","1096083510"
"Internet | nosalty.hu","1789669","0.296","19361457","7816861","2001167111"
"Internet | hasznaltauto.hu","1664991","0.2753","175098365","12818041","6972413715"
"Internet | vatera.hu","1601352","0.2648","36074750","5251982","1792953177"
"Internet | life.hu","1505495","0.249","28513516","10260083","1302646287"
"Internet | startlap.hu","1477758","0.2444","52715294","28799329","10008881416"
"Internet | webbeteg.hu","1458426","0.2412","5637107","3667401","601181537"
"Internet | 444.hu","1447706","0.2394","27337823","12755775","3620460949"
"Internet | port.hu","1400078","0.2315","24994221","5456694","1496791324"
"Internet | mindmegette.hu","1385814","0.2292","9144999","4445014","1079033202"
"Internet | cafeblog.hu","1383410","0.2288","6942823","4384969","667278514"
"Internet | indavideo.hu","1366082","0.2259","33527153","8871291","13050514552"
"Internet | napi.hu","1313652","0.2172","13679386","7946283","950907850"
"Internet | videa.hu","1272571","0.2104","22178760","7906755","15306999547"
"Internet | menetrendek.hu","1182193","0.1955","7265014","5534477","1004248729"
"Internet | freemail.hu","1158822","0.1916","174284110","23217945","5980113546"
"Internet | szeretlekmagyarorszag.hu","1155463","0.1911","26057892","7799388","936561982"
"Internet | bien.hu","1083399","0.1792","7149210","3508705","383914613"
"Internet | nemzetisport.hu","1078255","0.1783","48450022","16290483","3884233161"
"Internet | vezess.hu","1058808","0.1751","7489657","4650384","683618000"
"Internet | borsonline.hu","1050449","0.1737","11208252","4733613","882931223"
"Internet | portfolio.hu","1043639","0.1726","15795084","5936994","1821210521"
"Internet | noizz.hu","955579","0.158","3792336","2899070","321789130"
"Internet | koponyeg.hu","935313","0.1547","13918884","8037927","1074754686"
"Internet | velvet.hu","925481","0.153","19255139","4380735","665635252"
"Internet | penzcentrum.hu","916635","0.1516","3884232","2980039","356491281"
"Internet | profession.hu","906366","0.1499","19648296","3693777","1067081491"
"Internet | zoom.hu","895382","0.1481","4257614","3325005","392087949"
"Internet | femcafe.hu","878331","0.1452","10611543","2916581","259227120"
"Internet | player.hu","872861","0.1443","5185068","3384563","408301017"
"Internet | mindenegyben.com","854246","0.1413","5642638","4013291","427228790"
"Internet | atv.hu","849217","0.1404","7713979","4830527","794181107"
"Internet | totalcar.hu","845245","0.1398","16930054","4604628","1420575974"
"Internet | mediaklikk.hu","826942","0.1368","9013019","4707442","8262852619"
"Internet | programturizmus.hu","813109","0.1345","2558242","1290437","183992959"
