# Táblázat
"Forrás","Magyarország, DKT-Gemius (15+ belföldi közönség), 2018-03-01 - 2018-03-31"
"Riport","Domain-ek"
"Létrehozva","2021-07-25,15:01:08,CET"
"Periódus","2018-03-01 - 2018-03-31"
"Lokációk","Belföld"
"Platform","Teljes"
"Mutató","Real users"
"Node","Real users","Elérés - Internet","Oldalletöltések","Látogatások","Idő [s] (másodpercek)"
"Internet","5952498","0.9939","8633991786","1505759569","868623599102"
"Internet | blog.hu","3512736","0.5865","36922929","16933257","4824187321"
"Internet | origo.hu","2819217","0.4707","130796663","35314200","10245595403"
"Internet | 24.hu","2596289","0.4335","60090840","27956198","6077133927"
"Internet | jofogas.hu","2505982","0.4184","175342704","20798770","10872930332"
"Internet | nlcafe.hu","2482082","0.4145","41029680","20114094","3190258798"
"Internet | arukereso.hu","2461820","0.4111","37378902","9786056","2025347889"
"Internet | index.hu","2448344","0.4088","174611151","46544972","20408073826"
"Internet | blikk.hu","2285371","0.3816","72736778","24284202","4563897946"
"Internet | femina.hu","2223257","0.3712","45066479","12326699","1593124088"
"Internet | hvg.hu","2172701","0.3628","43632864","19100812","4233268413"
"Internet | nosalty.hu","1974395","0.3297","29727517","10084882","2803348055"
"Internet | hazipatika.com","1960511","0.3274","13624670","8134992","1357657433"
"Internet | idokep.hu","1916263","0.32","60557765","23762180","5553659216"
"Internet | cafeblog.hu","1674338","0.2796","11382730","6979995","1119368537"
"Internet | 444.hu","1672547","0.2793","35223063","16328856","5113953572"
"Internet | indavideo.hu","1663291","0.2777","39296112","10273668","14566399077"
"Internet | mindmegette.hu","1639952","0.2738","13213155","5991033","1654311983"
"Internet | hasznaltauto.hu","1611654","0.2691","204999264","14065990","8514183291"
"Internet | startlap.hu","1595517","0.2664","61675037","34846843","11915651785"
"Internet | videa.hu","1584065","0.2645","24160661","8933860","17604257432"
"Internet | vatera.hu","1551032","0.259","43199675","5689426","2261586183"
"Internet | life.hu","1541850","0.2575","28040900","11156954","1471980497"
"Internet | port.hu","1532802","0.2559","36916158","7229869","2155590325"
"Internet | webbeteg.hu","1523964","0.2545","6259510","4002894","685424993"
"Internet | ripost.hu","1354585","0.2262","18068383","8660175","1003909007"
"Internet | napi.hu","1343938","0.2244","14316693","8181469","1044590580"
"Internet | mindenegyben.com","1307519","0.2183","9721331","7043320","821344858"
"Internet | bien.hu","1186154","0.1981","7809332","3763115","389879503"
"Internet | freemail.hu","1173019","0.1959","194750824","24891210","6571609869"
"Internet | menetrendek.hu","1101133","0.1839","6871746","5210245","948921341"
"Internet | argep.hu","1091187","0.1822","5065410","2355282","332540322"
"Internet | szeretlekmagyarorszag.hu","1065021","0.1778","22256675","7837181","957781863"
"Internet | receptneked.hu","1024779","0.1711","7605039","3638860","750066605"
"Internet | mno.hu","999191","0.1668","7465742","4049151","990536532"
"Internet | noizz.hu","975062","0.1628","3919515","2921590","335508932"
"Internet | borsonline.hu","969764","0.1619","11963389","4665705","916176060"
"Internet | vezess.hu","969397","0.1619","8509400","4874948","771178498"
"Internet | koponyeg.hu","941305","0.1572","13428549","8791562","1260531786"
"Internet | portfolio.hu","936468","0.1564","16198556","5692433","1876091738"
"Internet | femcafe.hu","917545","0.1532","15980787","3263436","305979815"
"Internet | zoom.hu","915187","0.1528","3558278","2835575","338822509"
"Internet | profession.hu","906695","0.1514","18736518","3490613","1092122576"
"Internet | player.hu","901715","0.1506","5656787","3613665","488385868"
"Internet | hirado.hu","896887","0.1498","3714605","2694245","321626625"
"Internet | atv.hu","889728","0.1486","9047707","5466401","1306073641"
"Internet | penzcentrum.hu","869784","0.1452","3868442","2966241","369896515"
"Internet | divany.hu","849366","0.1418","8234762","3179827","617534825"
"Internet | totalcar.hu","837694","0.1399","22370595","5123869","1708975169"
"Internet | nemzetisport.hu","824435","0.1377","44201091","13893220","3418338079"
"Internet | velvet.hu","818966","0.1367","18096130","4369360","655510497"
"Internet | rtl.hu","804888","0.1344","4862423","2176066","1485403850"
"Internet | reblog.hu","802140","0.1339","3835817","2334762","512898575"
"Internet | tudasfaja.com","781687","0.1305","4767091","3358545","378728519"
"Internet | twn.hu","696202","0.1163","31076614","4038793","394059300"
"Internet | topszotar.hu","687140","0.1147","4022897","1518310","249763884"
"Internet | joy.hu","663174","0.1107","9400205","2800757","298871109"
"Internet | mafab.hu","639697","0.1068","3645861","1233284","280643117"
"Internet | egeszsegkalauz.hu","636419","0.1063","1714196","1256122","199488691"
"Internet | alfahir.hu","631839","0.1055","3554244","2138983","456912626"
"Internet | startapro.hu","614010","0.1025","8650842","1122998","269188445"
"Internet | mediaklikk.hu","603304","0.1007","5207218","2191484","3434999711"
"Internet | hirtv.hu","596148","0.0995","3372092","1972461","718492181"
"Internet | eduline.hu","593611","0.0991","1974238","1052589","136473278"
"Internet | glamour.hu","590371","0.0986","3631451","2098620","219488410"
"Internet | ittlakunk.hu","576828","0.0963","1723199","1134364","132468888"
"Internet | hirstart.hu","549227","0.0917","13666125","6141736","1122105770"
"Internet | babaszoba.hu","545653","0.0911","2199153","1318545","187988817"
"Internet | kisalfold.hu","545323","0.0911","7127260","2640878","490679585"
"Internet | programturizmus.hu","536261","0.0895","1820645","764985","125168004"
"Internet | csaladinet.hu","533975","0.0892","1273335","1034918","178616546"
"Internet | ingatlantajolo.hu","529659","0.0884","7533873","1487940","372626086"
"Internet | eoldal.hu","525943","0.0878","1754463","835289","164047277"
"Internet | 168ora.hu","500100","0.0835","2470256","1715940","310002926"
"Internet | autonavigator.hu","499629","0.0834","2451287","1211865","262369749"
"Internet | ingatlanbazar.hu","495051","0.0827","5213458","1124008","388316948"
"Internet | hrportal.hu","489599","0.0818","1547017","767585","176857736"
"Internet | g-portal.hu","486485","0.0812","2818812","961732","330426834"
"Internet | wmn.hu","480702","0.0803","2333727","1546179","443329839"
"Internet | eredmenyek.com","477736","0.0798","19385743","8221608","5399541576"
"Internet | she.hu","476370","0.0795","1594690","1154067","199754919"
"Internet | agroinform.hu","467913","0.0781","9123663","1648853","614443439"
"Internet | cosmopolitan.hu","461448","0.0771","2720176","1638766","170895459"
"Internet | delmagyar.hu","457574","0.0764","5113590","1946086","398058597"
"Internet | met.hu","449676","0.0751","8581465","3335513","752310737"
"Internet | ceginformacio.creditreform.hu","443620","0.0741","1188917","718307","139905167"
"Internet | nepszava.hu","429117","0.0717","3099158","1359035","388996770"
"Internet | mozicsillag.cc","428517","0.0716","3128134","943493","158003191"
"Internet | moly.hu","419617","0.0701","3185047","1366212","422219174"
"Internet | net.jogtar.hu","419604","0.0701","2005586","1107000","542933525"
"Internet | zeneszoveg.hu","417843","0.0698","1379587","731118","121003458"
"Internet | infostart.hu","417739","0.0698","2570179","1452566","200701842"
"Internet | m4sport.hu","409077","0.0683","2924687","1645640","676899436"
"Internet | mfor.hu","404575","0.0676","1295423","946146","118405591"
"Internet | sorozatbarat.online","398363","0.0665","18918968","5986947","1393066397"
"Internet | pestisracok.hu","389392","0.065","3573374","1823189","627443375"
"Internet | napidoktor.hu","386883","0.0646","764247","608725","81049840"
"Internet | retikul.hu","382040","0.0638","1088450","795294","88684494"
"Internet | citromail.hu","377074","0.063","55710498","6179011","1410919531"
"Internet | ign.hu","373426","0.0624","2449226","1358836","271528569"
"Internet | pcworld.hu","372196","0.0621","1190528","793916","119043136"
"Internet | kremmania.hu","364914","0.0609","6474081","1203184","281513943"
"Internet | propeller.hu","364708","0.0609","2327940","1263397","180544457"
"Internet | gamestar.hu","363378","0.0607","3498119","1944533","261939637"
"Internet | valasz.hu","361311","0.0603","1203969","819471","150315263"
"Internet | privatbankar.hu","360713","0.0602","1850989","1314134","178980330"
"Internet | rtlmost.hu","352505","0.0589","3720387","1943340","4050576380"
"Internet | pcforum.hu","351186","0.0586","822536","547095","92157556"
"Internet | szuloklapja.hu","347535","0.058","914278","599638","91153558"
"Internet | alon.hu","347283","0.058","1165003","629519","65862169"
"Internet | otthonterkep.hu","343427","0.0573","2519255","947613","211047183"
"Internet | petofilive.hu","336780","0.0562","1416874","999719","241645193"
"Internet | sztarklikk.hu","336266","0.0561","1746403","1201508","164515997"
"Internet | wellnesscafe.hu","334660","0.0559","953514","690355","82197530"
"Internet | tv2.hu","332832","0.0556","2537508","881754","665016270"
